to_node	 from_node	 capacity	 prob_failure
0	 1	 1.0	 0.0
0	 2	 1.0	 0.0
0	 6	 1.0	 0.0
0	 7	 1.0	 0.0
1	 0	 1.0	 0.0
1	 6	 1.0	 0.0
2	 0	 1.0	 0.0
2	 3	 1.0	 0.0
2	 6	 1.0	 0.0
2	 9	 1.0	 0.0
2	 15	 1.0	 0.0
2	 16	 1.0	 0.0
2	 17	 1.0	 0.0
2	 20	 1.0	 0.0
2	 21	 1.0	 0.0
3	 2	 1.0	 0.0
3	 8	 1.0	 0.0
3	 9	 1.0	 0.0
3	 6	 1.0	 0.0
4	 5	 1.0	 0.0
4	 7	 1.0	 0.0
5	 4	 1.0	 0.0
5	 7	 1.0	 0.0
5	 8	 1.0	 0.0
5	 9	 1.0	 0.0
5	 13	 1.0	 0.0
5	 14	 1.0	 0.0
6	 0	 1.0	 0.0
6	 1	 1.0	 0.0
6	 2	 1.0	 0.0
6	 3	 1.0	 0.0
6	 7	 1.0	 0.0
7	 0	 1.0	 0.0
7	 4	 1.0	 0.0
7	 5	 1.0	 0.0
7	 6	 1.0	 0.0
8	 3	 1.0	 0.0
8	 5	 1.0	 0.0
8	 9	 1.0	 0.0
8	 13	 1.0	 0.0
9	 2	 1.0	 0.0
9	 3	 1.0	 0.0
9	 5	 1.0	 0.0
9	 8	 1.0	 0.0
9	 13	 1.0	 0.0
9	 16	 1.0	 0.0
9	 22	 1.0	 0.0
10	 11	 1.0	 0.0
10	 13	 1.0	 0.0
10	 14	 1.0	 0.0
11	 10	 1.0	 0.0
11	 12	 1.0	 0.0
11	 13	 1.0	 0.0
11	 14	 1.0	 0.0
12	 11	 1.0	 0.0
12	 24	 1.0	 0.0
12	 13	 1.0	 0.0
13	 5	 1.0	 0.0
13	 8	 1.0	 0.0
13	 9	 1.0	 0.0
13	 10	 1.0	 0.0
13	 11	 1.0	 0.0
13	 12	 1.0	 0.0
13	 15	 1.0	 0.0
13	 16	 1.0	 0.0
13	 17	 1.0	 0.0
13	 22	 1.0	 0.0
14	 5	 1.0	 0.0
14	 10	 1.0	 0.0
14	 11	 1.0	 0.0
15	 2	 1.0	 0.0
15	 13	 1.0	 0.0
15	 16	 1.0	 0.0
15	 17	 1.0	 0.0
15	 21	 1.0	 0.0
16	 2	 1.0	 0.0
16	 9	 1.0	 0.0
16	 13	 1.0	 0.0
16	 15	 1.0	 0.0
16	 17	 1.0	 0.0
17	 2	 1.0	 0.0
17	 13	 1.0	 0.0
17	 15	 1.0	 0.0
17	 16	 1.0	 0.0
17	 18	 1.0	 0.0
17	 19	 1.0	 0.0
17	 20	 1.0	 0.0
17	 21	 1.0	 0.0
17	 22	 1.0	 0.0
18	 17	 1.0	 0.0
18	 21	 1.0	 0.0
19	 17	 1.0	 0.0
19	 20	 1.0	 0.0
20	 2	 1.0	 0.0
20	 17	 1.0	 0.0
20	 19	 1.0	 0.0
21	 2	 1.0	 0.0
21	 15	 1.0	 0.0
21	 17	 1.0	 0.0
21	 18	 1.0	 0.0
21	 22	 1.0	 0.0
22	 9	 1.0	 0.0
22	 13	 1.0	 0.0
22	 17	 1.0	 0.0
22	 21	 1.0	 0.0
22	 23	 1.0	 0.0
22	 24	 1.0	 0.0
23	 22	 1.0	 0.0
23	 24	 1.0	 0.0
24	 12	 1.0	 0.0
24	 22	 1.0	 0.0
24	 23	 1.0	 0.0
