to_node	 from_node	 capacity	 prob_failure
1	 2	 1.0	 0.0
1	 4	 1.0	 0.0
1	 74	 1.0	 0.0
1	 50	 1.0	 0.0
1	 42	 1.0	 0.0
1	 59	 1.0	 0.0
2	 1	 1.0	 0.0
2	 57	 1.0	 0.0
2	 68	 1.0	 0.0
2	 7	 1.0	 0.0
2	 4	 1.0	 0.0
3	 66	 1.0	 0.0
3	 4	 1.0	 0.0
4	 1	 1.0	 0.0
4	 2	 1.0	 0.0
4	 3	 1.0	 0.0
4	 42	 1.0	 0.0
4	 11	 1.0	 0.0
4	 67	 1.0	 0.0
4	 23	 1.0	 0.0
5	 8	 1.0	 0.0
6	 11	 1.0	 0.0
6	 51	 1.0	 0.0
6	 8	 1.0	 0.0
7	 2	 1.0	 0.0
7	 53	 1.0	 0.0
7	 8	 1.0	 0.0
8	 5	 1.0	 0.0
8	 6	 1.0	 0.0
8	 7	 1.0	 0.0
9	 27	 1.0	 0.0
9	 68	 1.0	 0.0
9	 30	 1.0	 0.0
9	 16	 1.0	 0.0
10	 27	 1.0	 0.0
10	 30	 1.0	 0.0
10	 40	 1.0	 0.0
11	 4	 1.0	 0.0
11	 6	 1.0	 0.0
11	 12	 1.0	 0.0
12	 11	 1.0	 0.0
12	 57	 1.0	 0.0
12	 28	 1.0	 0.0
12	 55	 1.0	 0.0
13	 14	 1.0	 0.0
13	 15	 1.0	 0.0
14	 13	 1.0	 0.0
14	 49	 1.0	 0.0
15	 13	 1.0	 0.0
15	 27	 1.0	 0.0
15	 16	 1.0	 0.0
16	 9	 1.0	 0.0
16	 15	 1.0	 0.0
16	 32	 1.0	 0.0
17	 18	 1.0	 0.0
17	 26	 1.0	 0.0
18	 17	 1.0	 0.0
18	 41	 1.0	 0.0
18	 43	 1.0	 0.0
18	 67	 1.0	 0.0
18	 42	 1.0	 0.0
19	 50	 1.0	 0.0
19	 20	 1.0	 0.0
20	 19	 1.0	 0.0
20	 22	 1.0	 0.0
21	 50	 1.0	 0.0
22	 20	 1.0	 0.0
22	 23	 1.0	 0.0
23	 4	 1.0	 0.0
23	 22	 1.0	 0.0
23	 50	 1.0	 0.0
23	 24	 1.0	 0.0
24	 23	 1.0	 0.0
24	 25	 1.0	 0.0
24	 42	 1.0	 0.0
24	 26	 1.0	 0.0
25	 24	 1.0	 0.0
26	 17	 1.0	 0.0
26	 24	 1.0	 0.0
27	 9	 1.0	 0.0
27	 10	 1.0	 0.0
27	 15	 1.0	 0.0
27	 67	 1.0	 0.0
28	 12	 1.0	 0.0
29	 34	 1.0	 0.0
