to_node	 from_node	 capacity	 prob_failure
1	 2	 5000	 0.0
1	 3	 5000	 0.0
2	 1	 5000	 0.0
2	 5	 5000	 0.0
3	 1	 5000	 0.0
3	 4	 5000	 0.0
3	 6	 5000	 0.0
5	 2	 5000	 0.0
5	 4	 5000	 0.0
5	 6	 5000	 0.0
4	 3	 5000	 0.0
4	 5	 5000	 0.0
4	 7	 5000	 0.0
4	 8	 5000	 0.0
6	 3	 5000	 0.0
6	 5	 5000	 0.0
6	 7	 5000	 0.0
6	 8	 5000	 0.0
7	 4	 5000	 0.0
7	 6	 5000	 0.0
7	 8	 5000	 0.0
7	 11	 5000	 0.0
8	 4	 5000	 0.0
8	 6	 5000	 0.0
8	 7	 5000	 0.0
8	 10	 5000	 0.0
11	 7	 5000	 0.0
11	 9	 5000	 0.0
11	 10	 5000	 0.0
11	 12	 5000	 0.0
10	 8	 5000	 0.0
10	 9	 5000	 0.0
10	 11	 5000	 0.0
10	 12	 5000	 0.0
9	 10	 5000	 0.0
9	 11	 5000	 0.0
12	 10	 5000	 0.0
12	 11	 5000	 0.0
